id,question,answer
1,What is the capital of France?,Paris
2,What is the chemical formula for water?,H2O
3,What planet is known as the Red Planet?,Mars
4,Who wrote 'Hamlet'?,Shakespeare
5,What is the largest ocean on Earth?,Pacific
6,What is 2 + 2?,4
7,What gas do plants absorb?,CO2
8,Which language is this project written in?,Python
9,What is the capital of Italy?,Rome
10,What is the largest planet in our solar system?,Jupiter
11,What is the hardest natural substance?,Diamond
12,How many continents are there on Earth?,7
13,What is the boiling point of water in Celsius?,100
14,Which organ pumps blood through the body?,Heart
15,Which metal is liquid at room temperature?,Mercury
16,Which gas do humans need to breathe?,Oxygen
17,What is the tallest mountain in the world?,Mount Everest
18,Which ocean is between Africa and Australia?,Indian Ocean
19,Who painted the Mona Lisa?,Da Vinci
20,What is the capital of the United Kingdom?,London
21,What is the largest mammal?,Blue whale
22,How many days are in a leap year?,366
23,What is the smallest prime number?,2
24,Which planet is closest to the Sun?,Mercury
25,What is the main language spoken in Spain?,Spanish
26,Which instrument has black and white keys?,Piano
27,What is the freezing point of water in Celsius?,0
28,Which animal is known as the King of the Jungle?,Lion
29,What is the capital of Japan?,Tokyo
30,How many minutes are there in one hour?,60
31,What do bees make?,Honey
32,In which sport is Wimbledon played?,Tennis
33,What is the largest desert in the world?,Sahara
34,What is the chemical symbol for gold?,Au
35,Which planet do we live on?,Earth
36,Which country is famous for the pyramids of Giza?,Egypt
37,Which organ is used for thinking?,Brain
38,How many legs does a spider have?,8
39,What is the color of chlorophyll?,Green
40,What is the capital of Canada?,Ottawa
41,How many letters are there in the English alphabet?,26
42,Which animal gives us wool?,Sheep
43,What is the largest internal organ in the human body?,Liver
44,What is the study of stars and planets called?,Astronomy
45,Which ocean is on the west coast of the United States?,Pacific
46,How many sides does a triangle have?,3
47,Which month has 28 days in a common year?,February
48,What is the square root of 9?,3
49,What is the currency of the United States?,Dollar
50,What is the capital of Germany?,Berlin
